"","Artibeus jamaicensis","Artibeus lituratus","Carollia brevicauda","Carollia castanea","Carollia perspicillata","Phyllostomus discolor","Sturnira lilium","Uroderma bilobatum"
"Cecropia Camargo2009.unidsp.995",0,1,1,0,0,0,1,0
"Ficus Camargo2009.unidsp.263",1,1,1,0,0,0,1,1
"Piper Camargo2009.unidsp.617",0,1,1,1,1,1,1,1
"Solanaceae Camargo2009.unidsp.991",0,0,0,0,0,0,0,1
"Solanum Camargo2009.unidsp.875",1,0,0,0,0,0,1,1
"Unknown Camargo2009.unidsp.1",0,0,0,1,0,0,0,0
"Unknown Camargo2009.unidsp.10",1,0,1,0,1,0,0,0
"Unknown Camargo2009.unidsp.2",0,0,1,0,1,0,0,0
"Unknown Camargo2009.unidsp.3",0,0,0,0,0,0,1,0
"Unknown Camargo2009.unidsp.4",0,0,0,0,0,0,1,0
"Unknown Camargo2009.unidsp.5",0,0,0,0,0,0,1,0
"Unknown Camargo2009.unidsp.6",0,0,1,0,0,0,0,0
"Unknown Camargo2009.unidsp.7",1,0,0,0,0,0,0,0
"Unknown Camargo2009.unidsp.8",0,0,0,0,0,1,0,0
"Unknown Camargo2009.unidsp.9",0,0,0,0,0,0,1,0
"Vismia Camargo2009.unidsp.488",0,0,1,0,0,0,0,0
