"","Canis mesomelas","Chlorocebus pygerythrus","Genetta tigrina","Potamochoerus larvatus","Raphicerus melanotis","Tragelaphus scriptus"
"Acacia cyclops",0,0,20,8,0,0
"Asparagus racemosus",0,0,3,0,0,0
"Azima tetracantha",0,6,2,0,0,0
"Carpobrotus deliciosus",0,6342,0,8596,0,21
"Chenopodium Castley2001.unidsp.803",1,0,0,12,1,419
"Chironia baccifera",0,0,26,0,0,0
"Chrysanthemoides monilifera",0,1,3,0,0,103
"Colpoon compressum",0,1,14,0,0,0
"Emex australis",14,0,0,0,0,0
"Euclea racemosa",0,0,149,0,0,0
"Eugenia capensis",0,132,42,0,0,0
"Lycium afrum",1,41,0,0,0,26
"Medicago rigidula",1,0,0,0,0,0
"Myrica cordifolia",1,1,0,2044,0,0
"Nylandtia spinosa",0,0,7,0,0,0
"Olea exasperata",1,5,24,0,0,0
"Opuntia ficus-indica",0,0,0,4924,0,1
"Poaceae Castley2001.unidsp.mult",0,0,0,0,0,26
"Pterocelastrus tricuspidatus",0,0,2,4,0,0
"Rhus crenata",0,0,0,0,0,9
"Rhus glauca",0,93,5,24,0,0
"Scutia myrtina",0,22,16,28,0,0
"Sideroxylon inerme",0,0,4,0,0,0
"Unidentified Castley2001.unidsp.1",0,0,0,0,0,61
"Unidentified Castley2001.unidsp.2",0,0,0,156,0,0
"Unidentified Castley2001.unidsp.3",0,0,0,0,0,3
"Unidentified Castley2001.unidsp.4",0,0,5,0,0,0
"Viscum obscurum",0,34,3,0,0,1
