"","Amblyospiza albifrons","Andropadus importunus","Bycanistes bucinator","Colius striatus","Columba arquatrix","Crithagra mozambica","Hedydipna collaris","Lybius torquatus","Notopholia corrusca","Oriolus larvatus","Parus niger","Phoeniculus purpureus","Ploceus bicolor","Ploceus capensis","Ploceus ocularis","Ploceus subaureus","Pogoniulus bilineatus","Pogoniulus pusillus","Pycnonotus barbatus","Streptopelia semitorquata","Tauraco corythaix","Tockus alboterminatus","Turdus olivaceus","Turtur tympanistria","Zosterops capensis"
"Antidesma venosum",0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
"Bridelia micrantha",0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
"Celtis africana",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
"Croton sylvaticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Ficus thonningii",0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1
"Maesa lanceolata",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Phoenix reclinata",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"Pittosporum viridiflorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
"Protorhus longifolia",0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1
"Rauvolfia caffra",0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
"Searsia chirindensis",0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1
"Searsia rehmanniana",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
"Syzygium cordatum",0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1
"Vepris lanceolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
