"","Artibeus fimbriatus","Artibeus lituratus","Carollia perspicillata","Platyrrhinus recifinus","Pygoderma bilabiatum","Sturnira lilium","Vampyressa pusilla"
"Cecropia glaziovii",0,19,0,1,0,0,0
"Cecropia hololeuca",0,12,0,0,0,0,0
"Cecropia pachystachya",3,30,0,3,0,0,0
"Cucurbitaceae Gomes2013.unidsp.32",0,1,0,0,0,0,0
"Fagaceae Gomes2013.unidsp.966",0,0,2,0,0,0,0
"Ficus gomelleira",0,6,1,0,0,0,3
"Ficus Gomes2013.unidsp.388",0,0,1,0,0,0,0
"Ficus insipida",1,31,1,0,0,0,0
"Piper arboreum",0,0,20,0,0,0,0
"Piper cernuum",0,0,1,0,0,0,0
"Piper Gomes2013.unidsp.1",0,0,4,0,0,0,0
"Piper Gomes2013.unidsp.2",0,0,3,0,0,0,0
"Piper Gomes2013.unidsp.3",0,0,1,0,0,0,0
"Piper Gomes2013.unidsp.4",0,0,2,0,0,0,0
"Piper hoffmanseggianum",0,0,9,0,0,0,0
"Piper mollicomum",0,0,35,0,0,1,0
"Piper rivinoides",0,0,4,0,0,0,0
"Piper umbellatum",0,0,1,0,0,0,0
"Solanum americanum",0,0,1,0,1,0,0
"Solanum Gomes2013.unidsp.634",0,0,1,0,0,0,0
"Solanum odoriferum",0,0,7,0,0,0,0
"Solanum paniculatum",0,0,8,0,0,0,0
