"","Acanthisitta chloris","Anthornis melanura","Chloris chloris","Cyanoramphus auriceps","Finschia novaeseelandiae","Fringilla coelebs","Gerygone igata","Hemiphaga novaeseelandiae","Mohoua ochrocephala","Nestor meridionalis","Petroica macrocephala","Prosthemadera novaeseelandiae","Rhipidura fuliginosa","Turdus merula","Zosterops lateralis"
"Aristotelia serrata",0,4,0,0,0,0,0,20,0,0,0,0,0,2,46
"Ascarina lucida",0,19,0,0,0,0,0,0,0,0,7,0,8,0,127
"Carpodetus serratus",0,1,0,0,0,0,0,0,0,2,0,17,0,5,6
"Coprosma foetidissima",0,22,0,1,0,0,0,5,0,7,0,0,1,0,8
"Coprosma lucida",0,1,0,0,0,0,0,0,0,0,0,5,0,0,0
"Coprosma Odonnell1994.unidsp.1",0,26,0,0,1,0,0,5,0,0,1,0,0,0,25
"Coprosma rotundifolia",0,11,0,0,0,0,0,0,0,0,0,0,0,0,10
"Coriaria arborea",0,2,0,0,0,0,0,10,0,0,0,0,0,2,30
"Dacrycarpus dacrydioides",0,10,0,0,2,0,0,105,0,0,0,4,0,0,28
"Dacrydium cupressinum",0,86,9,53,0,2,1,688,0,123,1,62,0,15,175
"Elaeocarpus hookerianus",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fuchsia excorticata",0,4,0,0,0,0,0,52,0,0,0,0,2,14,11
"Griselinia littoralis",0,2,0,0,0,0,1,5,3,0,0,0,0,2,224
"Hedycarya arborea",0,1,0,0,0,0,0,52,0,12,0,0,0,0,0
"Neomyrtus pedunculata",0,17,0,0,0,0,0,0,0,0,0,0,0,0,21
"Neopanax colensoi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"Nertera Odonnell1994.unidsp.929",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Pennantia corymbosa",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Peraxilla Odonnell1994.unidsp.2",0,1,0,0,0,0,0,0,0,3,0,0,0,4,9
"Podocarpus cunninghamii",0,2,0,12,0,0,0,0,0,43,0,0,0,0,2
"Podocarpus totara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Prumnopitys ferruginea",0,3,0,0,0,0,0,512,0,24,0,2,0,5,0
"Prumnopitys taxifolia",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Pseudopanax crassifolius",0,22,0,0,5,10,8,57,0,18,10,0,0,7,187
"Pseudowintera colorata",0,7,0,0,0,0,0,36,0,0,0,0,0,0,10
"Rapanea australis",0,9,0,0,0,0,0,2,0,0,0,1,0,0,7
"Rapanea divaricata",0,8,0,0,0,0,0,0,0,0,0,0,0,0,10
"Raukaua edgerleyi",8,3,0,0,0,0,0,0,0,3,1,4,2,0,20
"Raukaua simplex",6,1,0,0,4,1,6,69,0,0,1,0,0,7,110
"Rhipogonum scandens",0,8,0,0,0,0,0,24,0,1,0,2,0,0,1
"Rubus Odonnell1994.unidsp.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"Schefflera digitata",0,0,0,0,0,0,0,19,0,0,0,1,0,0,88
