"","Chloris chloris","Cyanistes caeruleus","Erithacus rubecula","Fringilla coelebs","Garrulus glandarius","Parus major","Phoenicurus ochruros","Phoenicurus phoenicurus","Phylloscopus collybita","Pica pica","Poecile palustris","Pyrrhula pyrrhula","Sturnus vulgaris","Sylvia atricapilla","Sylvia borin","Sylvia communis","Sylvia curruca","Turdus merula","Turdus philomelos","Turdus viscivorus"
"Bryonia cretica subsp. dioica",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Cornus mas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cornus sanguinea",0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0
"Crataegus laevigata",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Crataegus monogyna",1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1
"Euonymus Plein2013.unidsp.580",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
"Frangula alnus",0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0
"Ligustrum vulgare",0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
"Malus domestica",0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
"Prunus spinosa",0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0
"Pyrus communis",0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"Rhamnus cathartica",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rosa Plein2013.unidsp.mult",1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rubus vestitus",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Sambucus nigra",0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"Viburnum opulus",0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
