"","Artibeus cinereus","Artibeus lituratus","Artibeus obscurus","Artibeus planirostris","Carollia perspicillata","Sturnira lilium"
"Cecropia pachystachya",0,12,1,2,4,0
"Ficus SilvaOliveira.unidsp.mult",0,0,0,1,0,0
"Passiflora galbana",0,0,0,0,26,0
"Philodendron quinquenervium",0,0,0,1,7,0
"Senna georgica",0,0,0,0,5,0
"Solanum asperum",5,1,1,0,25,1
"Solanum paniculatum",0,0,0,0,2,0
"Solanum SilvaOliveira.unidsp.mult",0,0,0,0,4,0
"Undetermined SilvaOliveira.unidsp.mult",0,1,0,0,1,0
"Vismia guianensis",2,0,0,0,79,0
